#frame_name,frame_index,bits_used_in_frame,used_bits_mask,ConfigBits_ranges
frame0,0,32,1111_1111_1111_1111_1111_1111_1111_1111,365:334
frame1,1,32,1111_1111_1111_1111_1111_1111_1111_1111,333:302
frame2,2,32,1111_1111_1111_1111_1111_1111_1111_1111,301:270
frame3,3,32,1111_1111_1111_1111_1111_1111_1111_1111,269:238
frame4,4,32,1111_1111_1111_1111_1111_1111_1111_1111,237:206
frame5,5,32,1111_1111_1111_1111_1111_1111_1111_1111,205:174
frame6,6,32,1111_1111_1111_1111_1111_1111_1111_1111,173:142
frame7,7,32,1111_1111_1111_1111_1111_1111_1111_1111,141:110
frame8,8,32,1111_1111_1111_1111_1111_1111_1111_1111,109:78
frame9,9,32,1111_1111_1111_1111_1111_1111_1111_1111,77:46
frame10,10,32,1111_1111_1111_1111_1111_1111_1111_1111,45:14
frame11,11,14,1111_1111_1111_1100_0000_0000_0000_0000,13:0
frame12,12,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame13,13,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame14,14,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame15,15,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame16,16,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame17,17,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame18,18,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame19,19,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
