S_term,S1END0,S1END1,S1END2,S1END3,S1END4,S2END0,S2END1,S2END2,S2END3,S2END4,S2END5,S2END6,S2END7,S2END8,S2END9
N1BEG0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1BEG1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1BEG2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N2BEG0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N2BEG1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N2BEG2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N2BEG3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N2BEG4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N2BEG5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4BEG0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4BEG1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4BEG2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4BEG3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4BEG4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4BEG5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4BEG6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4BEG7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
